Link,Perfil,Perk1,Fuerza,Perk2,Educacion,Perk3,Aguante,Nivel,Total
https://rivalregions.com/#slide/profile/2001601702,[OTK☠️] Papanomaly,207.0,Fuerza,52.0,Educacion,58.0,Aguante,82.0,399
https://rivalregions.com/#slide/profile/2001635575,[R.A.] Sinthoras McKill,100.0,Fuerza,122.0,Educacion,101.0,Aguante,74.0,397
https://rivalregions.com/#slide/profile/2001618946,[✨️] J chaves,102.0,Fuerza,103.0,Educacion,103.0,Aguante,72.0,380
https://rivalregions.com/#slide/profile/2001123680,Mora,103.0,Fuerza,108.0,Educacion,101.0,Aguante,65.0,377
https://rivalregions.com/#slide/profile/2000598560,[R.A.] Franco,50.0,Fuerza,130.0,Educacion,111.0,Aguante,73.0,364
https://rivalregions.com/#slide/profile/2001567943,[ꞪIDRA] Ernesto Doval,147.0,Fuerza,31.0,Educacion,100.0,Aguante,68.0,346
https://rivalregions.com/#slide/profile/2001648049,☦ [CONT] Mrs.,30.0,Fuerza,114.0,Educacion,101.0,Aguante,72.0,317
https://rivalregions.com/#slide/profile/2001648047,☦ [CONT] Mr.,30.0,Fuerza,114.0,Educacion,101.0,Aguante,72.0,317
https://rivalregions.com/#slide/profile/2001351007,[BULLS] Messi,39.0,Fuerza,101.0,Educacion,100.0,Aguante,70.0,310
https://rivalregions.com/#slide/profile/2001594654,José de Renca,100.0,Fuerza,85.0,Educacion,62.0,Aguante,62.0,309
https://rivalregions.com/#slide/profile/2000503815,Obaca,82.0,Fuerza,81.0,Educacion,81.0,Aguante,63.0,307
https://rivalregions.com/#slide/profile/2001406317,Sebastian Loto guirula,70.0,Fuerza,88.0,Educacion,80.0,Aguante,64.0,302
https://rivalregions.com/#slide/profile/2001410693,anasheee,65.0,Fuerza,66.0,Educacion,64.0,Aguante,64.0,259
https://rivalregions.com/#slide/profile/2000980098,Alberto samidBaneadohasta 19 Enero 2038 00:14,57.0,Fuerza,50.0,Educacion,82.0,Aguante,69.0,258
https://rivalregions.com/#slide/profile/2001641309,[FRE] Carnicero del Sur,56.0,Fuerza,56.0,Educacion,55.0,Aguante,69.0,236
https://rivalregions.com/#slide/profile/2001395219,Aris,40.0,Fuerza,40.0,Educacion,92.0,Aguante,61.0,233
https://rivalregions.com/#slide/profile/2001646191,[JKS] Pescado con pan,41.0,Fuerza,54.0,Educacion,85.0,Aguante,52.0,232
https://rivalregions.com/#slide/profile/2001642886,[ꞪIDRA] doris damas,40.0,Fuerza,34.0,Educacion,85.0,Aguante,62.0,221
https://rivalregions.com/#slide/profile/2001652636,[NAZCA] White Lion,50.0,Fuerza,50.0,Educacion,62.0,Aguante,56.0,218
